Year,Event name,Entites,Terms
1948,Communists seize power in Czechoslovakia (Feb. 23–25).,"communist, czechoslovakia, czech",czechoslovakia
1948,Nation of Israel proclaimed; British end mandate at midnight; Arab armies attack (May 14).,"israel, british, arab",Israel
1948,"Berlin blockade begins (June 24), prompting Allied airlift (June 26). (Blockade ends May 12, 1949; airlift continues until Sept. 30, 1949.)","berlin blockade, allied, airlift",Berlin blockade
1949,Cease-fire in Palestine (Jan. 7).,"palestine, israel","palestine, israel"
1949,Israel signs an armistice with Egypt (Feb. 24).,"israel, armistice, egypt, cairo, jerusalem","Israel, Egypt"
1949,Start of the North Atlantic Treaty Organization (NATO)—treaty signed by 12 nations (April 4).,"NATO, treaty",nato
1949,Federal Republic of Germany (West Germany) established (May 23).,"germany,","Republic Germany, west germany"
1949,Communist People's Republic of China formally proclaimed by Chairman Mao Zedong (Oct. 1).,"china, communist, republic, mao, zedong, chinese","Republic China, Mao Zedong"
1950,Brink's robbery in Boston; almost $3 million stolen (Jan. 17).,"brink, robbery, boston",Brink robbery
1950,Truman orders the development of the hydrogen bomb (Jan. 31).,"truman, hydrogen bomb, hydrogen", hydrogen bomb
1950,Korean War begins when North Korean Communist forces invade South Korea (June 25).,"korean, korea, communist","Korean War, north korea, south korea"
1950,McCarthyism begins.,"mccarthyism, mccarthy, soviet, left, communist, communism","McCarthyism, communism"
1951,Julius and Ethel Rosenberg sentenced to death for passing atomic secrets to Russians (March).,"julius, rosenberg, ethel, rosenberg, atomic, russia, russian","Julius Rosenberg , Ethel Rosenberg"
1951,Color television introduced in the U.S.,television,"television, color television"
1951,Libya gains independence (Dec. 24).,"libya, libyan",Libya
1953,Gen. Dwight D. Eisenhower inaugurated president of the United States (Jan. 20).,"eisenhower, president, usa",Dwight Eisenhower
1953,Stalin dies (March 5).,stalin,"joseph stalin, stalin"
1953,James Watson and Francis Crick publish their discovery of the molecular model of DNA (April–May).,dna,dna
1953,Moscow announces the explosion of the hydrogen bomb (Aug. 20).,"moscow, hydrogen bomb, russia, hydrogen",hydrogen bomb
1954,First atomic submarine Nautilus launched (Jan. 21).,"atomic, submarine, nautilus","atomic submarine, Nautilus"
1954,"Dien Bien Phu, French military outpost in Vietnam, falls to Vietminh army (May 7).","dien, bien, phu, vietminh, vietnam, vietnamese","Bien Phu, Vietnam, Vietminh"
1954,U.S. Supreme Court (in Brown v. Board of Education of Topeka) unanimously bans racial segregation in public schools (May 17).,"racial, segregation","racial segregation, segregation"
1954,Eisenhower launches the world atomic pool without the Soviet Union (Sept. 6).,"eisenhower, atomic",atomic pool
1954,Eight-nation Southeast Asia defense treaty (SEATO) signed at Manila (Sept. 8).,"SEATO, manila",SEATO
1954,Dr. Jonas Salk starts inoculating children against polio.,"polio, inoculation","Inoculation,  polio,"
1954,Algerian War of Independence against France begins (Nov.); France struggles to maintain colonial rule until 1962 when it agrees to Algeria's independence.,"algerian, algeria, france, ",Algeria
1955,Churchill resigns; Anthony Eden succeeds him (April 6).,"churchill, eden","Churchill, winston churchill, Anthony Eden"
1955,West Germany becomes a sovereign state (May 5).,"germany, sovereign",West Germany
1955,"Warsaw Pact, east European mutual defense agreement, signed (May 14).",warsaw,Warsaw Pact
1955,Argentina ousts Perón (Sept. 19).,"argentina, peron","Argentina, Peron"
1955,"Martin Luther King, Jr., leads a black boycott of the Montgomery, Ala., bus system (Dec. 1); desegregated service begins Dec. 21, 1956.","luther, montgomery, boycott","Martin Luther, luther king, black boycott, Montgomery"
1956,"Nikita Khrushchev, First Secretary of USSR Communist Party, denounces Stalin's excesses (Feb. 24).","khrushchev, ussr, stalin","Nikita Khrushchev, Khrushchev, Stalin, joseph stalin"
1956,Egypt takes control of Suez Canal (July 26).,"egypt, suez, cairo",suez canal
1956,Hungarian rebellion forces Soviet troops to withdraw from Budapest (Oct.).,"hungarian, budapest, hungary",Hungarian rebellion
1956,Israel launches an attack on Egypt's Sinai peninsula and drives toward the Suez Canal (Oct. 29).,"israel, egypt, sinai, suez, egyptian, israelian, israeli, cairo, jerusalem","Israel, egypt"
1956,Imre Nagy announces Hungary's withdrawal from the Warsaw Pact (Nov. 1); Soviet troops enter and reclaim Budapest (Nov. 4).,"hungary, warsaw, soviet, budapest","Imre Nagy, Hungar, Warsaw Pact"
1957,Eisenhower Doctrine calls for aid to Mideast countries that resist armed aggression from Communist-controlled nations (Jan. 5).,"eisenhower, mideast, communist, communism",Eisenhower Doctrine
1958,"Army's Jupiter-C rocket fires the first U.S. Earth satellite, Explorer I, into orbit (Jan. 31).","jupiterc, jupyter, rocket, satellite, usa, russia","Jupiterc rocket, satellite"
1958,Egypt and Syria merge into the United Arab Republic (Feb. 1).,"egypt, syria, arab","united arab, arab republic"
1958,"New French constitution adopted (Sept. 28), de Gaulle elected president of the 5th Republic (Dec. 21).","new french constitution, de gaulle, president, 5th republic",de Gaulle
1959,Tibet's Dalai Lama escapes to India (Mar. 31).,"tibet, dalai, lama, india",Dalai Lama 
1959,Alaska and Hawaii become states.,"alaska, hawaii","alaska, hawaii"
1959,Leakeys discover hominid fossils.,"leakey, hominid, fossil",hominid fossil
1960,Khrushchev kills Paris summit conference because of U-2 (May 16).,khrushchev,"Khrushchev, Paris summit "
1960,Cuba begins the confiscation of $770 million of U.S. property (Aug. 7).,"cuba, confiscation, usa",cuba
1961,U.S. breaks diplomatic relations with Cuba (Jan. 3).,"cuban, cuba",cuba
1961,"Moscow announces putting the first man in orbit around Earth, Maj. Yuri A. Gagarin (April 12).","moscow, yuri, gagarin, orbit, space",yuri gagarin
1961,"Virgil Grissom becomes the second American astronaut, making a 118-mile-high, 303-mile-long rocket flight over the Atlantic (July 21).","grissom, astronaut, rocket, space, shuttle",Virgil Grissom
1961,"Gherman Stepanovich Titov is launched in the Soviet spaceship Vostok II: makes 17½ orbits in 25 hours, covering 434,960 miles before landing safely (Aug. 6).","stepanovich, titov, spaceship","Titov, Vostok"
1961,East Germans erect the Berlin Wall between East and West Berlin to halt the flood of refugees (Aug. 13).,"berlin, wall",berlin wall
1961,"USSR fires a 50-megaton hydrogen bomb, the biggest explosion in history (Oct. 29).","ussr, hydrogen bomb, hydrogen",hydrogen bomb
1962,France transfers sovereignty to the new republic of Algeria (July 3).,"france,, algeria",algeria
1963,"Michael E. De Bakey implants an artificial heart in a human for the first time at a Houston hospital; the plastic device functions, and the patient lives for four days (April 21).","bakey, artificial, heart, houston",artifical heart
1963,U.K.'s Profumo scandal (June).,profumo,profumo
1963,"Civil rights rally held by 200,000 blacks and whites in Washington, D.C.; Martin Luther King delivers the “I have a dream” speech (Aug. 28).","civil, black, white, washington luther, dream","Civil right, martin luther, luther king"
1963,Kenya achieves independence.,kenya,kenya
1963,"There are 15,000 U.S. military advisers in South Vietnam.","U.S. military advisers, south vietnam","south vietnam, vietnam"
1964,Congress approves Gulf of Tonkin resolution (Aug. 7).,tonkin,tonkin
1965,"Medicare, senior citizens' government medical assistance program, begins (July 1).",medicare,medicare
1967,"Three Apollo astronauts—Col. Virgil I. Grissom, Col. Edward White II, and Lt. Cmdr. Roger B. Chaffee—killed in spacecraft fire during simulated launch (Jan. 27).","apollo, spacecraft, space",Apollo
1967,"Israeli and Arab forces battle; six-day war ends with Israel occupying Sinai Peninsula, Golan Heights, Gaza Strip, and the east bank of the Suez Canal (June 5).","Israeli, arab","Israel, Arab"
1967,Red China announces the explosion of its first hydrogen bomb (June 17).,"china, hydrogen bomb, hydrogen",hydrogen bomb
1967,Thurgood Marshall sworn in as the first black U.S. Supreme Court justice (Oct. 2).,thurgood,Thurgood Marshall 
1967,Dr. Christiaan N. Barnard and a team of South African surgeons perform the world's first successful human heart transplant (Dec. 3)—the patient dies 18 days later.,"barnard, surgeon, transplant",heart transplant
1968,"Tet offensive, a turning point in the Vietnam War (Jan.–Feb.).","Tet, vietnam, vietnamese","Tet offensive, Vietnam War"
1969,"Apollo 11 astronauts—Neil A. Armstrong, Edwin E. Aldrin, Jr., and Michael Collins—take man's first walk on the moon (July 20).","apollo, armstrong, aldrin, collin, moon","Apollo, Neil. Armstrong, Edwin  Aldrin, Michael Collins"
1969,The Internet (ARPA) goes online.,"internet, arpa","internet,arpa, online"
1970,U.S. troops invade Cambodia (May 1).,"us, usa, cambodia",cambodia
1970,Senate repeals Gulf of Tonkin resolution (June 24).,tonkin,Tonkin
1971,Pentagon Papers published (June).,pentagon,Pentagon Paper
1971,Twenty-sixth Amendment to U.S. Constitution lowers voting age to 18.,"constitution, voting, vote",voting age
1971,UN seats Communist China and expels Nationalist China (Oct. 25).,"un, china, communist, nationalist","Communist China, Nationalist China"
1972,Britain takes over direct rule of Northern Ireland in bid for peace (March 24).,"britain, ireland, british, irish","Direct rule, northern ireland"
1972,Supreme Court rules that death penalty is unconstitutional (June 29).,death penalty,death penalty
1972,Eleven Israeli athletes at Olympic Games in Munich are killed after eight members of an Arab terrorist group invade Olympic Village; five guerrillas and one policeman are also killed (Sept. 5).,"israeli, israel, arab terrorist, guerrilla","Israeli athlete,  Olympic Game"
1972,“Christmas bombing” of North Vietnam (Dec. 25).,"christmas, vietnam",christmas bombing
1973,Vietnam War ends with signing of peace pacts (Jan. 27).,"vietnam, vietnamese","vietnam war, vietnam"
1973,"Nixon, on national TV, accepts responsibility, but not blame, for Watergate; accepts resignations of advisers H. R. Haldeman and John D. Ehrlichman, fires John W. Dean III as counsel (April 30).","nixon, watergate, responsibility, blame, haldeman, ehrlichman","watergate, Haldeman, Ehrlichman, nixon, richard nixon"
1973,Egypt and Israel sign U.S.-sponsored cease-fire accord (Nov. 11).,"egypt, israel, usa, jerusalem, cairo","egypt, israel"
1974,"House Judiciary Committee adopts three articles of impeachment charging President Nixon with obstruction of justice, failure to uphold laws, and refusal to produce material subpoenaed by the committee (July 30).",nixon,impeachment
1975,Pol Pot and Khmer Rouge take over Cambodia (April).,"pol pot, khmer, cambodia","Pol Po, Khmer Rouge "
1976,Supreme Court rules that blacks and other minorities are entitled to retroactive job seniority (March 24).,"black, minority, retroactive",
1976,Supreme Court rules that death penalty is not inherently cruel or unusual and is a constitutionally acceptable form of punishment (July 3).,"death penalt, constitution",death penalty
1977,Scientists identify previously unknown bacterium as cause of mysterious “legionnaire's disease” (Jan. 18).,"bacterium, legionnaire, disease","bacterium, legionnaire"
1977,Carter pardons Vietnam draft evaders (Jan. 21).,vietnam,"draft, draft evader"
1977,Scientists report using bacteria in lab to make insulin (May 23).," bacteria, insulin"," bacteria, insulin"
1977,Supreme Court rules that states are not required to spend Medicaid funds on elective abortions (June 20).,"medicaid, abortion","elective abortion, abortion"
1977,"Nuclear-proliferation pact, curbing spread of nuclear weapons, signed by 15 countries, including U.S. and USSR (Sept. 21).","nuclear, nuclear weapon, ussr",nuclear weapon
1978,U.S. Senate approves Panama Canal neutrality treaty (March 16); votes treaty to turn canal over to Panama by year 2000 (April 18).,panama,panama canal
1978,Californians in referendum approve Proposition 13 for nearly 60% slash in property tax revenues (June 6).,"californian, california, referendum, tax, property",tax revenue
1978,“Framework for Peace” in the Middle East signed by Egypt's president Anwar Sadat and Israeli premier Menachem Begin after 13-day conference at Camp David led by President Carter (Sept. 17).,"egypt,anwar, sadat, israeli, israel, carter",
1978,"Jim Jones's followers commit mass suicide in Jonestown, Guyana (Nov. 18).","jonestown, guyana","jim jones, jonestown"
1979,"Oil spills pollute ocean waters in Atlantic and Gulf of Mexico (Jan. 1, June 8, July 21).","oil, ocean, water, atlantic, gulf",Oil spill
1979,"Ohio agrees to pay $675,000 to families of dead and injured in Kent State University shootings (Jan. 4).","ohio, kent, shooting",university shooting
1979,"Vietnam and Vietnam-backed Cambodian insurgents announce fall of Phnom Penh, Cambodian capital, and collapse of Pol Pot regime (Jan. 7).","vietnam, cambodian, vietnamese","Vietnam,  Cambodia, Phnom Penh, Pol Pot"
1979,"Shah leaves Iran after year of turmoil (Jan. 16); revolutionary forces under Muslim leader, Ayatollah Ruhollah Khomeini, take over (Feb. 1 et seq.).","shah, iran, muslim, ayatollah, khomeini","shah, iran, Khomeini"
1979,"Nuclear power plant accident at Three Mile Island, Pa., releases radiation (March 28).","nuclear power, radiation","power plant, Mile Island"
1979,"Earl Mountbatten of Burma, 79, British World War II hero, and three others killed by blast on fishing boat off Irish coast (Aug. 27); two I.R.A. members accused (Aug. 30).","burma, british, rish, ira, ireland","Earl Mountbatten, ira"
1979,Iranian militants seize U.S. embassy in Tehran and hold hostages (Nov. 4).,"iranian, embassy, tehran, iran","us embassy, tehran"
1979,Soviet invasion of Afghanistan stirs world protests (Dec. 27).,"soviet, afghanistan","Soviet invasion, Afghanistan"
1980,Six U.S. embassy aides escape from Iran with Canadian help (Jan. 29).,"iranian, embassy, tehran, iran","us embassy, iran, tehran"
1980,Supreme Court upholds limits on federal aid for abortions (June 30).,abortion,abortion
1980,Shah of Iran dies at 60 (July 27).,"shah, iran, muslim, ayatollah, khomeini",shah
1980,Iraq troops hold 90 square miles of Iran after invasion; 8-year Iran-Iraq war begins (Sept. 19).,"iraq, iran","Iraq, Iran, iran-iraq"
1980,Three U.S. nuns and lay worker found shot in El Salvador (Dec. 4).,salvador,el salvador
1980,Smallpox eradicated.,smallpox,smallpox
1981,"President Reagan wounded by gunman, with press secretary and two law-enforcement officers (March 30).",gun,"President Reagan, ronald Reagan"
1981,AIDS is first identified.,"aids, hiv","aids, hiv"
1982,British overcome Argentina in Falklands war (April 2–June 15).,"british, argentina, falklands, britain","Argentina, Falklands war, Falkland war"
1982,Israel invades Lebanon in an attack on P.L.O. (June 4).,"israel, lebanon, israeli, lebanese","Israel, Lebanon, plo"
1982,Lebanese Christian Phalangists kill hundreds of people in two Palestinian refugee camps in West Beirut (Sept. 15).,"lebanese, phalangist, palestinian, beirut","Sabra massacre, Shatila massacre, sabra shatila"
1982,"Leonid Brezhnev, Soviet leader, dies at 75 (Nov. 10).","brezhnev, soviet, russia, russian",Leonid Brezhnev
1982,"Yuri V. Andropov, 68, chosen as successor (Nov. 15).","andropov, russian, russia, soviet",Yuri  Andropov
1982,"Permanent artificial heart implanted in a human for the first time in Dr. Barney B. Clark, 61, at the University of Utah Medical Center in Salt Lake City (Dec. 2).","artificial, heart, implant",artificial heart
1983,"Second space shuttle, Challenger, makes a successful maiden voyage, which includes the first U.S. spacewalk in nine years (April 4).","space, shuttle, spacewalk, space","space shuttle , STS6 mission, sts mission"
1983,U.S. Supreme Court declares many local abortion restrictions unconstitutional (June 15).,abortion,abortion
1983,"Sally K. Ride, 32, the first U.S. woman astronaut in space as a crew member aboard the space shuttle Challenger (June 18).","woman, women, astronaut, space, shuttle","Sally Ride, woman astronaut, space shuttle"
1983,"Benigno S. Aquino, Jr., 50, political rival of Philippines president Marcos, slain in Manila (Aug. 21).","benigno, aquino, philippines, marcos, manila, aug. 21",Ninoy Aquino
1983,"South Korean Boeing 747 jetliner bound for Seoul apparently strays into Soviet airspace and is shot down by a Soviet SU-15 fighter after it had tracked the airliner for two hours; all 269 aboard are killed, including 61 Americans (Aug. 30).","korean, korea, boeing, seoul","Korean Air, Flight 007"
1983,Terrorist explosion kills 237 U.S. Marines in Beirut (Oct. 23).,"terrorist, beirut, marine","Marine Barracks, Marine Barrack, beirut barrack, beirut barracks"
1983,U.S. and Caribbean allies invade Grenada (Oct. 25).,"usa, caribbean, grenada",Grenada
1984,U.S. and Vatican exchange diplomats after 116-year hiatus (Jan. 10).,vatican,Vatican
1984,Reagan orders U.S. Marines withdrawn from Beirut international peacekeeping force (Feb. 7).,"reagan, marine, beirut","Beirut withdrawal, peacekeeping force"
1984,"Yuri V. Andropov dies at 69; Konstantin U. Chernenko, 72, named Soviet Union leader (Feb. 9).","chernenko, soviet","Yuri Andropov, Konstantin Chernenko, Chernenko, Andropov"
1984,Italy and Vatican agree to end Roman Catholicism as state religion (Feb. 18).,"italy, vatican, catholicism, religion","Roman Catholicism, Catholicism"
1984,Congress rebukes President Reagan on the use of federal funds for mining Nicaraguan harbors (April 10).,"reagan, caraguan, harbor","Nicaraguan harbor, Nicaraguan harbors"
1984,Three hundred slain as Indian Army occupies Sikh Golden Temple in Amritsar (June 6).,"india, indian, sikh, amritsar","Operation Blue, blue start, sikh"
1984,"Indian prime minister Indira Gandhi assassinated by two Sikh bodyguards; 1,000 killed in anti-Sikh riots; son Rajiv succeeds her (Oct. 31).","indian, india, gandhi, sikh bodyguards","Indira Gandhi, sikh, antisikh"
1984,"Toxic gas leaks from Union Carbide plant in Bhopal, India, killing 2,000 and injuring 150,000 (Dec. 3).","toxin, gas, carbid, bhopal, india",Bhopal disaster
1985,"USSR leader Chernenko dies at 73 and is replaced by Mikhail Gorbachev, 54 (March 11).","chernenko, gorbachev","Chernenko, Mikhail Gorbachev, Gorbachev"
1985,"Two Shi'ite Muslim gunmen capture TWA airliner with 133 aboard, 104 of them Americans (June 14); 39 remaining hostages freed in Beirut (June 30).","muslim, islam",TWA Flight
1985,Reagan and Gorbachev meet at the summit (Nov. 19); agree to step up arms control talks and renew cultural contacts (Nov. 21).,"reagan, gorbachev, russia, russian, communist, communism",SovietUnited
1985,Terrorists seize Egyptian Boeing 737 airliner after takeoff from Athens (Nov. 23); 59 dead as Egyptian forces storm the plane on Malta (Nov. 24).,"terrorist, terrorism,  egyptian, malta, athens",EgyptAir Flight
1986,Spain and Portugal join European Economic Community (Jan. 1).,"spain, portugal","Spain, Portugal, European Economic"
1986,President freezes Libyan assets in the U.S. (Jan. 8).,"libyan, libya","froze libyan, order freeze"
1986,"Space shuttle Challenger explodes after launch at Cape Canaveral, Fla., killing all seven aboard (Jan. 28).","space, shuttle","space shuttle, challenger disaster"
1986,Haiti president Jean-Claude Duvalier flees to France (Feb. 7).,"haiti, duvalier",JeanClaude Duvalier
1986,"President Marcos flees Philippines after ruling 20 years, as newly elected Corazon Aquino succeeds him (Feb. 26).","marcos, philippines","Ferdinand Marcos, Corazon Aquino"
1986,Prime Minister Olof Palme of Sweden shot dead (Feb. 28).,"palme, sweden",Olof Palme
1986,Austrian president Kurt Waldheim's service as a Nazi army officer revealed (March 3).,"waldheim, nazi, austria, austrian",Kurt Waldheim
1986,Desmond Tutu elected archbishop in South Africa (April 14).,"tutu, archbishop",Desmond Tutu
1986,Major nuclear accident at the Soviet Union's Chernobyl power station alarms the world (April 26 et seq.).,"nuclear, soviet, chernobyl",Chernobyl
1986,Supreme Court reaffirms abortion rights (June 11).,abortion,abortion
1986,World Court rules U.S. broke international law in mining Nicaraguan waters (June 27).,"nicaraguan, nicaragua",nicaragua
1986,Congress overrides Reagan veto of stiff sanctions against South Africa (Sept. 29 and Oct. 2).,"reagan, sanction, south africa","AntiApartheid Act, AntiApartheid"
1986,"Congress approves immigration bill barring hiring of illegal aliens, with amnesty provision (Oct. 17).","immigration, alien","immigration, illegal immigration, illegal immigrant"
1987,Supreme Court rules Rotary Clubs must admit women (May 4).,women,"rotary, rotary membership"
1987,Iraqi missiles kill 37 in attack on U.S. frigate Stark in the Persian Gulf (May 17); Iraqi president apologizes (May 18).,"iraqi, iraq, iran, persian",stark incident
1987,"Admiral John M. Poindexter, former National Security Adviser, testifies he authorized the use of Iran arms sale profits to aid Contras (July 15–22).","iran, contra, reagan, nicaragua, nicaraguan, lebanon",Irancontra
1988,U.S. and Canada reach a free trade agreement (Jan. 2).,canada,CanadaUnited
1988,"Robert C. McFarlane, former National Security Adviser, pleads guilty in the Iran-Contra case (March 11).",mcfarlane,"McFarlane, Irancontra"
1988,Plane blast kills Pakistani president Mohammad Zia ul-Haq (Aug. 17).,"pakistan, pakistani, ulhaq",Muhammad ZiaulHaq
1988,"Benazir Bhutto, first Islamic woman prime minister, chosen to lead Pakistan (Dec. 2).","benazir, bhutto",Benazir Bhutto
1989,Iran's Ayatollah Khomeini declares author Salman Rushdie's book The Satanic Verses offensive and sentences him to death (Feb. 14).,"iran, ayatollah, khomeini, rushdie","Salman Rushdie, Satanic Verse,  Satanic Verses"
1989,Tens of thousands of Chinese students take over Beijing's Tiananmen Square in a rally for democracy (April 19 et seq.).,"china, chinese, democracy",Tiananmen Square
1989,Mikhail S. Gorbachev named Soviet president (May 25).,"gorbachev, soviet, russia","Mikhail Gorbachev, Gorbachev"
1989,Deng Xiaoping resigns from China's leadership (Nov. 9).,"xiaoping, china, chinese",Deng Xiaoping
1989,"After 28 years, the Berlin Wall is open to the West (Nov. 11).","berlin, wall",berlin wall
1989,Czech Parliament ends Communists' dominant role (Nov. 30).,"czech, communist, communism",velvet revolution
1989,Dalai Lama wins Nobel Peace Prize.,"dalai, lama",dalai lama
1990,"World Wide Web debuts, popularizes Internet.",internet,internet
1990,Gen. Manuel Noriega surrenders in Panama (Jan. 3).,"noriega, panama",Manuel Noriega
1990,Yugoslav Communists end a 45-year monopoly of power (Jan. 22).,"yugoslav, communist, communism","Yugoslav Communist, Yugoslavia"
1990,"South Africa frees Nelson Mandela, imprisoned for 27.5 years (Feb. 11).","nelson, mandela","Nelson Mandela, mandela"
1990,Hubble Space Telescope launched (April 25).,"hubble, telescope, space,","Hubble Space, Space Telescope, hubble telescope"
1990,"Iraqi troops invade Kuwait and seize petroleum reserves, setting off the Persian Gulf War (Aug. 2 et seq.).","iraqi, iraq, kuwait, persian, gulf ","Persian Gulf, gulf war"
1990,East and West Germany reunited (Oct. 3).,"germany, german","germany, German reunification"
1990,Gorbachev assumes emergency powers (Nov. 17).,gorbachev,emergency privatization
1990,Leaders of 34 nations in Europe and North America proclaim a united Europe (Nov. 21).,"united, european, europe",united europe
1990,Margaret Thatcher resigns as British prime minister (Nov. 22); John Major succeeds her (Nov. 28).,thatcher,Margaret Thatcher
1990,Haiti elects a leftist priest as president in the first democratic election (Dec. 17).,haiti,JeanBertrand Aristide
1991,U.S. and Allies at war with Iraq (Jan. 15).,iraq,"gulf war, persian gulf"
1991,Warsaw Pact dissolves military alliance (Feb. 25).,warsaw,warsaw pact
1991,Cease-fire ends Persian Gulf War; UN forces are victorious (April 3).,"persian, gulf","gulf war, persian gulf"
1991,France agrees to sign 1968 treaty banning the spread of atomic weapons (June 3).,atomic weapon,nuclear NonProliferation 
1991,South African Parliament repeals apartheid laws (June 5).,"africa,apartheid",apartheid
1991,Boris N. Yeltsin inaugurated as the first freely elected president of the Russian Republic (July 10).,"yeltsin, russia, russian",Boris Yeltsin
1991,China accepts nuclear nonproliferation treaty (Aug. 10).,"china, chinese,",nuclear nonproliferation
1991,Israel and Soviet Union resume relations after 24 years (Oct. 18).,"israel, soviet,",IsraelRussia
1991,"U.S. indicts two Libyans in 1988 bombing of Pan Am Flight 103 over Lockerbie, Scotland (Nov. 15).",libyan,pan am
1991,"lebanon, lebanese","last three u.s. hostages, freed, lebanon, dec. 2–4",Lebanon hostage
1991,Soviet Union breaks up after President Gorbachev's resignation; constituent republics form Commonwealth of Independent States (Dec. 25).,"soviet, gorbachev, commonwealth","Soviet Union, Gorbachev"
1992,Yugoslav Federation broken up (Jan. 15).,"yugoslav, communist, communism",Yugoslavia
1992,Bush and Yeltsin proclaim formal end to the cold war (Feb. 1).,"bush, yeltsin, russia, russian, usa",cold war
1992,U.S. lifts trade sanctions against China (Feb. 21).,"china, chinese","trade sanction, china sanction"
1992,Four police officers acquitted in Los Angeles beating of Rodney King; rioting erupts in South-Central Los Angeles (April 29 et seq.).,"rodney, policemen, policeman, police, officer",rodney King
1992,Last Western hostages freed in Lebanon (June 17).,lebanon,Lebanon hostage
1992,"supreme court, reaffirms, right to abortion, june 29","supreme court, reaffirms, right to abortion, june 29",abortion
1992,Democrats nominate Bill Clinton and Al Gore (July 1).,clinton,"Bill Clinton, Al Gore"
1992,Gen. Noriega sentenced to 40 years on drug charges (July 10).,"noriega, drug",Manuel Noriega
1992,Republicans renominate Bush and Quayle (Aug. 20).,"bush, quayle","president Bush, george bush"
1992,"Top Japanese leader, Shin Kanemaru, resigns in scandal (Oct. 14).","japanese, kanemaru","Shin Kanemaru, Kanemaru Shin"
1992,"Bill Clinton elected president, Al Gore vice president; Democrats keep control of Congress (Nov. 3).",clinton,"Bill Clinton, Al Gore vice"
1992,"U.S. forces leave the Philippines, ending nearly a century of American military presence (Nov. 24).",philippines,Philippines
1992,UN approves U.S.-led force to guard food for Somalia (Dec. 3).,somalia,"somalia, Somalia intervention"
1992,Prince and Princess of Wales agree to separate (Dec. 9).,"prince, princess, wales","princess diana, prince charles"
1992,Bush pardons former Reagan administration officials involved in the Iran-Contra affair (Dec. 24).,"bush, irancontra, raegan",IranContra
1993,Clinton agrees to compromise on the military's ban on homosexuals (Jan. 29).,"clinton, homosexual, homosexuality","homosexual, military ban, DADT"
1993,U.S. begins airlift of supplies to besieged Bosnia towns (Feb. 28).,"bosnia, serbia","Bosnia Air, "
1993,Federal agents besiege Texas Branch Davidian religious cult after six are killed in the raid (March 1 et seq.).,cult,"Waco siege, Branch Davidian, Branch Davidians"
1993,Two police officers convicted on federal civil rights charges in Rodney King beating (April 17); sentenced (Aug. 4).,"police, officer, rodney",rodney king
1993,Israeli-Palestinian accord reached (Aug. 28).,"israeli, palestinian, israel, palestine","israel, palestine, Oslo Accord, Oslo Accords"
1993,China breaks nuclear test moratorium (Oct. 5).,"china, chinese, nuclear","MORATORIUM, nuclear test"
1993,Clinton signs Brady bill regulating firearms purchases (Nov. 30).,"clinton,  firearms, brady","brady law, brady bill"
1993,Toni Morrison wins the Nobel prize for literature.,"toni morrison, wins, nobel prize, literature",Toni Morrison
1994,Serbs' heavy weapons pound Sarajevo (Jan. 5–6).,"serb, serbia","Sarajevo, Siege Sarajevo, Sarajevo siege"
1994,Clinton ends trade embargo on Vietnam (Feb. 9).,"clinton,  vietnam, vietnamese",trade embargo
1994,"Rwandan genocide of Tutsis by Hutus begins; estimated 800,000 slaughtered in c. 100 days (April 6).","rwandan, genocide, tutsis, hutus","Rwandan genocide, Rwanda genocide"
1994,Israel and Palestinians sign accord (May 4).,"israel, palestinian, palestine, israeli","GazaJericho Agreement, cairo agreement"
1994,Clinton accused of sexual harassment while governor of Arkansas (May 6).,clinton,Paula Jones
1994,Congress votes protection for women's health clinics (May 12).,"women, health, woman",Women Health
1994,Supreme Court approves limit on abortion protests (June 30).,abortion,"abortion, abortion right"
1994,IRA declares cease-fire in Northern Ireland (Aug. 31).,"ira, ireland","IRA Ceasefire, ir"
1994,Aristide returns to joyous Haiti (Oct. 4).,haiti,ARISTIDE
1994,U.S. sends forces to the Persian Gulf (Oct. 7).,"persian, gulf","persian gulf, gulf war"
1994,Israel and Jordan sign peace treaty (Oct. 17).,"israel, jordan","IsraelJordan, Israel–Jordan"
1995,Senate rejects balanced-budget amendment (March 2).,budget,"BalancedBudget, Balanced Budget "
1995,UN Council votes easier sanctions for Iraq (April 14).,iraq,"iraq sanction, sanction iraq"
1995,"Scores killed as terrorist's car bomb blows up block-long Oklahoma City federal building (April 19); Timothy McVeigh, 27, Army veteran, arrested as suspect (April 21); authorities seek second suspect, link right-wing paramilitary groups to bombing (April 22).","terrorist, terrorism","Oklahoma City, Oklahoma bombing"
1995,"Death toll 2,000 in Rwanda massacre (April 22).",rwanda,Rwanda massacre
1995,U.S. shuttle docks with Russian space station (June 27).,"shuttle, russia, russian, space",space shuttle
1995,France explodes nuclear device in the Pacific; wide protests ensue (Sept. 5).,"france, nuclear","nuclear test, nuclear device"
1995,Senator Bob Packwood of Oregon resigns under pressure for sexual and official misconduct (Sept. 6).,packwood,Bob Packwoo
1995,Israelis and Palestinians agree on transferring the West Bank to Arabs (Sept. 24).,"israeli, palestinian, israel, palestine, arab","Oslo II, Oslo Accord"
1995,Million Man March draws hundreds of thousands of black men to the capital (Oct. 16).,"million, black",Million Man
1995,Quebec narrowly rejects independence from Canada (Oct. 30).,"quebec, canada",Quebec referendum
